ID Earthquake;Flag Tsunami;Year;Month;Day;Ms Magnitude;Ml Magnitude;Country;Location name;Earthquake : Deaths;Earthquake : Deaths Description;Earthquake : Damage (in M$);ICoordinates
4466;No;1968;10.0;7.0;7.5;0.0;JAPAN;JAPAN:  BONIN ISLANDS;0.0;No deaths reported;0.0;26.3, 140.6
4530;Yes;1970;5.0;14.0;6.5;0.0;RUSSIA;RUSSIA:  DAGESTAN;0.0;Many (~101 to 1000 deaths);0.0;43.0, 47.1
6432;Yes;1970;11.0;28.0;6.0;0.0;CHILE;CHILE:  NORTHERN;0.0;No deaths reported;0.0;-20.94, -69.81
4559;No;1971;2.0;14.0;5.3;0.0;IRAN;IRAN:  JAILAN,BOKRAN,HOSSEINABAD,SHARIFABAD;1.0;Few (~1 to 50 deaths);0.0;36.6, 55.6
4605;No;1972;6.0;11.0;7.5;0.0;INDONESIA;INDONESIA:  CELEBES SEA;0.0;No deaths reported;0.0;3.9, 124.3
4632;Yes;1973;3.0;17.0;7.5;0.0;PHILIPPINES;PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN;15.0;Few (~1 to 50 deaths);0.45;13.4, 122.8
6447;Yes;1975;3.0;13.0;6.9;0.0;CHILE;CHILE:  COQUIMBO, LA SERENA;2.0;Few (~1 to 50 deaths);0.0;-29.9, -71.3
4927;Yes;1981;9.0;1.0;7.7;0.0;SAMOA;"SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO";0.0;No deaths reported;0.0;-14.96, -173.085
4959;Yes;1982;12.0;25.0;5.9;0.0;INDONESIA;INDONESIA:  FLORES ISLAND:  EASTERN;13.0;Few (~1 to 50 deaths);1.45;-8.405, 123.08
5119;No;1986;12.0;7.0;5.6;0.0;BULGARIA;BULGARIA:  VELIKO TURNOVO-TURGOVISHTE;3.0;Few (~1 to 50 deaths);5.0;43.274, 25.912
6470;Yes;1987;10.0;6.0;7.3;0.0;TONGA;TONGA ISLANDS;0.0;No deaths reported;0.0;-17.94, -172.225
5161;No;1988;6.0;19.0;6.4;0.0;PHILIPPINES;PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN;2.0;Few (~1 to 50 deaths);0.0;12.376, 121.067
5173;No;1988;10.0;31.0;5.6;0.0;ALGERIA;ALGERIA:  BLIDA, MEDEA-ALGIERS;0.0;No deaths reported;0.0;36.443, 2.759
